"make","model","length","year","price","url"
"Bavaria","38 ft 2004 Bavaria 38","38","2004","90010","https://au.yachtworld.com/boats/2004/bavaria-38-3225752/"
"Bavaria","42 ft 2001 Bavaria 42","42","2001","90450","https://au.yachtworld.com/boats/2001/bavaria-42-3647082/"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","90450","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-1865889/"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","90992","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3609891/"
"Bavaria","41 ft 2003 Bavaria 41","41","2003","91483","https://au.yachtworld.com/boats/2003/bavaria-41-3099329/"
"Bavaria","38 ft 2009 Bavaria 38 Cruiser","38","2009","89661","https://au.yachtworld.com/boats/2009/bavaria-38-cruiser-3615296/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","91646","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3504940/"
"Bavaria","47 ft 2001 Bavaria 47 / VAT PAID","47","2001","88738","https://au.yachtworld.com/boats/2001/bavaria-47-vat-paid-3252814/"
"Bavaria","44 ft 2003 Bavaria 44","44","2003","88760","https://au.yachtworld.com/boats/2003/bavaria-44-3608431/"
"Bavaria","45 ft 2001 Bavaria 42 Cruiser","45","2001","93283","https://au.yachtworld.com/boats/2001/bavaria-42-cruiser-3642857/"
"Bavaria","40 ft 2007 Bavaria 39 Cruiser","40","2007","93283","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3604304/"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","93283","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3212104/"
"Bavaria","39 ft 2007 Bavaria 39 Cruiser","39","2007","93283","https://au.yachtworld.com/boats/2007/bavaria-39-cruiser-3492919/"
"Bavaria","38 ft 2004 Bavaria 38","38","2004","93283","https://au.yachtworld.com/boats/2004/bavaria-38-3560999/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","93283","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3584706/"
"Bavaria","40 ft 2002 Bavaria 40","40","2002","94101","https://au.yachtworld.com/boats/2002/bavaria-40-3599693/"
"Bavaria","43 ft 2000 Bavaria 42","43","2000","94919","https://au.yachtworld.com/boats/2000/bavaria-42-3652427/"
"Bavaria","40 ft 2001 Bavaria 40","40","2001","94919","https://au.yachtworld.com/boats/2001/bavaria-40-3233925/"
"Bavaria","39 ft 2002 Bavaria 40 Cruiser","39","2002","94919","https://au.yachtworld.com/boats/2002/bavaria-40-cruiser-3252758/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","94919","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3650196/"
"Bavaria","38 ft 1997 Bavaria 38 Holiday","38","1997","95819","https://au.yachtworld.com/boats/1997/bavaria-38-holiday-3592964/"
"Bavaria","45 ft 2002 Bavaria 44 SHALLOW DRAFT","45","2002","96392","https://au.yachtworld.com/boats/2002/bavaria-44-shallow-draft-3650228/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","96556","https://au.yachtworld.com/boats/2002/bavaria-44-3647016/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","97374","https://au.yachtworld.com/boats/2002/bavaria-44-3549112/"
"Bavaria","38 ft 2003 Bavaria 38 Cruiser","38","2003","97374","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-2426780/"
"Bavaria","38 ft 1998 Bavaria 38","38","1998","97677","https://au.yachtworld.com/boats/1998/bavaria-38-3587204/"
"Bavaria","38 ft 2001 Bavaria 37 Cruiser","38","2001","97765","https://au.yachtworld.com/boats/2001/bavaria-37-cruiser-3577504/"
"Bavaria","44 ft 2002 Bavaria 44 / NEW ENGINE","44","2002","98029","https://au.yachtworld.com/boats/2002/bavaria-44-new-engine-3005262/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","98029","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3034169/"
"Bavaria","39 ft 1991 Bavaria 390","39","1991","96214","https://au.yachtworld.com/boats/1991/bavaria-390-3574167/"
"Bavaria","40 ft 2005 Bavaria 38 Cruiser","40","2005","98111","https://au.yachtworld.com/boats/2005/bavaria-38-cruiser-3594842/"
"Bavaria","39 ft 2003 Bavaria 38 Cruiser","39","2003","98184","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3468393/"
"Bavaria","42 ft 2000 Bavaria Bavaria 42","42","2000","98193","https://au.yachtworld.com/boats/2000/bavaria-bavaria-42-3644983/"
"Bavaria","41 ft 2004 Bavaria 41","41","2004","98193","https://au.yachtworld.com/boats/2004/bavaria-41-3215444/"
"Bavaria","39 ft 2003 Bavaria 38","39","2003","95642","https://au.yachtworld.com/boats/2003/bavaria-38-3591711/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","101466","https://au.yachtworld.com/boats/2002/bavaria-44-2809728/"
"Bavaria","42 ft 2000 Bavaria 42","42","2000","103102","https://au.yachtworld.com/boats/2000/bavaria-42-3548121/"
"Bavaria","39 ft 2005 Bavaria 38","39","2005","103102","https://au.yachtworld.com/boats/2005/bavaria-38-3541651/"
"Bavaria","39 ft 2005 Bavaria BAVARIA 38","39","2005","103102","https://au.yachtworld.com/boats/2005/bavaria-bavaria-38-3517655/"
"Bavaria","38 ft 2003 Bavaria 38 Cruiser","38","2003","104411","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3564692/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","104739","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3214275/"
"Bavaria","38 ft 2000 Bavaria Cruiser","38","2000","104858","https://au.yachtworld.com/boats/2000/bavaria-cruiser-3154074/"
"Bavaria","38 ft 1999 Bavaria 38 Exclusive","38","1999","105108","https://au.yachtworld.com/boats/1999/bavaria-38-exclusive-3622118/"
"Bavaria","38 ft 1991 Bavaria BAVARIA 390 Caribic","38","1991","105311","https://au.yachtworld.com/boats/1991/bavaria-bavaria-390-caribic-3648144/"
"Bavaria","42 ft 2003 Bavaria 41 Cruiser","42","2003","105557","https://au.yachtworld.com/boats/2003/bavaria-41-cruiser-3601671/"
"Bavaria","40 ft 2002 Bavaria 40-3","40","2002","105557","https://au.yachtworld.com/boats/2002/bavaria-40-3-3519346/"
"Bavaria","38 ft 2003 Bavaria 36","38","2003","105597","https://au.yachtworld.com/boats/2003/bavaria-36-3619690/"
