"model","length","year","price","url"
"44 ft 2007 Hunter 44 Deck Salon","44","2007","241400","https://au.yachtworld.com/boats/2007/hunter-44-deck-salon-3128003/"
"45 ft 2009 Hunter 45DS","45","2009","252716","https://au.yachtworld.com/boats/2009/hunter-45ds-3599957/"
"44 ft 2002 Hunter 466","44","2002","254979","https://au.yachtworld.com/boats/2002/hunter-466-3050205/"
"45 ft 2006 Hunter 45 Center Cockpit","45","2006","263730","https://au.yachtworld.com/boats/2006/hunter-45-center-cockpit-3577297/"
"45 ft 2007 Hunter 45 Center Cockpit","45","2007","263881","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3536428/"
"41 ft 2009 Hunter 41 Aft Cabin","41","2009","263881","https://au.yachtworld.com/boats/2009/hunter-41-aft-cabin-3622007/"
"45 ft 2008 Hunter 45 Center Cockpit","45","2008","264031","https://au.yachtworld.com/boats/2008/hunter-45-center-cockpit-3556207/"
"46 ft 2005 Hunter 466","46","2005","270066","https://au.yachtworld.com/boats/2005/hunter-466-3596355/"
"45 ft 2008 Hunter 45 Deck Salon","45","2008","271424","https://au.yachtworld.com/boats/2008/hunter-45-deck-salon-3557410/"
"45 ft 2006 Hunter 45cc","45","2006","271424","https://au.yachtworld.com/boats/2006/hunter-45cc-3487191/"
"45 ft 2007 Hunter 45 Center Cockpit","45","2007","275347","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3212226/"
"45 ft 2007 Hunter 45 Center Cockpit","45","2007","277459","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3508631/"
"45 ft 2009 Hunter 45 Deck Salon","45","2009","277610","https://au.yachtworld.com/boats/2009/hunter-45-deck-salon-3232648/"
"46 ft 2004 Hunter 466","46","2004","285154","https://au.yachtworld.com/boats/2004/hunter-466-3601878/"
"45 ft 2002 Hunter 456","45","2002","285154","https://au.yachtworld.com/boats/2002/hunter-456-3602941/"
"41 ft 2009 Hunter 41 Deck Salon","41","2009","286512","https://au.yachtworld.com/boats/2009/hunter-41-deck-salon-2030338/"
