"model","length","year","price","url"
"38 ft 2003 Bavaria 38 Cruiser","38","2003","104411","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3564692/"
"40 ft 2008 Bavaria 40 Cruiser","40","2008","104739","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3214275/"
"38 ft 2000 Bavaria Cruiser","38","2000","104858","https://au.yachtworld.com/boats/2000/bavaria-cruiser-3154074/"
"38 ft 1999 Bavaria 38 Exclusive","38","1999","105108","https://au.yachtworld.com/boats/1999/bavaria-38-exclusive-3622118/"
"38 ft 1991 Bavaria BAVARIA 390 Caribic","38","1991","105311","https://au.yachtworld.com/boats/1991/bavaria-bavaria-390-caribic-3648144/"
"42 ft 2003 Bavaria 41 Cruiser","42","2003","105557","https://au.yachtworld.com/boats/2003/bavaria-41-cruiser-3601671/"
"40 ft 2002 Bavaria 40-3","40","2002","105557","https://au.yachtworld.com/boats/2002/bavaria-40-3-3519346/"
"38 ft 2003 Bavaria 36","38","2003","105597","https://au.yachtworld.com/boats/2003/bavaria-36-3619690/"
"38 ft 1997 Bavaria 38 Holiday","38","1997","101773","https://au.yachtworld.com/boats/1997/bavaria-38-holiday-2352743/"
"47 ft 2007 Bavaria Cruiser 46","47","2007","106375","https://au.yachtworld.com/boats/2007/bavaria-cruiser-46-3032960/"
"44 ft 2004 Bavaria 44","44","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-44-3608425/"
"44 ft 2004 Bavaria 44","44","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-44-3571430/"
"42 ft 2004 Bavaria 42 Cruiser","42","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-42-cruiser-2660723/"
"42 ft 2007 Bavaria 42 Cruiser","42","2007","106375","https://au.yachtworld.com/boats/2007/bavaria-42-cruiser-3497458/"
"42 ft 2001 Bavaria 42","42","2001","106375","https://au.yachtworld.com/boats/2001/bavaria-42-3465567/"
"42 ft 1997 Bavaria 41","42","1997","106375","https://au.yachtworld.com/boats/1997/bavaria-41-3602064/"
"40 ft 2001 Bavaria 40","40","2001","106375","https://au.yachtworld.com/boats/2001/bavaria-40-3500614/"
"40 ft 2005 Bavaria 42 Match","40","2005","106375","https://au.yachtworld.com/boats/2005/bavaria-42-match-3248802/"
"39 ft 1991 Bavaria 39 Lagoon Eignerv.","39","1991","106375","https://au.yachtworld.com/boats/1991/bavaria-39-lagoon-eignerv--3647226/"
"39 ft 2006 Bavaria 39 Cruiser","39","2006","106375","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3234535/"
"39 ft 2008 Bavaria 38 Cruiser","39","2008","106375","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-2450723/"
"39 ft 2008 Bavaria 39 Cruiser","39","2008","106375","https://au.yachtworld.com/boats/2008/bavaria-39-cruiser-3584507/"
"39 ft 2006 Bavaria 39 Cruiser","39","2006","106375","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3643346/"
"38 ft 2004 Bavaria 38","38","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-38-3647858/"
"38 ft 1997 Bavaria 38 Exclusive","38","1997","106375","https://au.yachtworld.com/boats/1997/bavaria-38-exclusive-3645806/"
"38 ft 2004 Bavaria 38","38","2004","107454","https://au.yachtworld.com/boats/2004/bavaria-38-3583244/"
"39 ft 2007 Bavaria 39","39","2007","107552","https://au.yachtworld.com/boats/2007/bavaria-39-3595851/"
"39 ft 2000 Bavaria 38","39","2000","107552","https://au.yachtworld.com/boats/2000/bavaria-38-3612995/"
"45 ft 2002 Bavaria 44","45","2002","108012","https://au.yachtworld.com/boats/2002/bavaria-44-3138028/"
"45 ft 2002 Bavaria 44","45","2002","108012","https://au.yachtworld.com/boats/2002/bavaria-44-2666175/"
"41 ft 1997 Bavaria 41 Holiday","41","1997","108012","https://au.yachtworld.com/boats/1997/bavaria-41-holiday-3190827/"
"39 ft 2005 Bavaria 39","39","2005","108012","https://au.yachtworld.com/boats/2005/bavaria-39-3472370/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","108012","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-2988624/"
"40 ft 1997 Bavaria 38 Exclusive","40","1997","108207","https://au.yachtworld.com/boats/1997/bavaria-38-exclusive-3487142/"
"45 ft 2002 Bavaria 44","45","2002","109648","https://au.yachtworld.com/boats/2002/bavaria-44-3561432/"
"44 ft 2003 Bavaria 44 Cruiser","44","2003","109648","https://au.yachtworld.com/boats/2003/bavaria-44-cruiser-3652624/"
"42 ft 2001 Bavaria 42","42","2001","109648","https://au.yachtworld.com/boats/2001/bavaria-42-3559910/"
"40 ft 2008 Bavaria 40 Cruiser","40","2008","109648","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3171392/"
"39 ft 2003 Bavaria 38 Cruiser","39","2003","109648","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3647523/"
"40 ft 2001 Bavaria 40-2","40","2001","110467","https://au.yachtworld.com/boats/2001/bavaria-40-2-3570429/"
"40 ft 2009 Bavaria 40 Cruiser","40","2009","110467","https://au.yachtworld.com/boats/2009/bavaria-40-cruiser-3640982/"
"43 ft 1992 Bavaria 430 Lagoon","43","1992","111285","https://au.yachtworld.com/boats/1992/bavaria-430-lagoon-3596441/"
"40 ft 2002 Bavaria Bavaria 41","40","2002","111285","https://au.yachtworld.com/boats/2002/bavaria-bavaria-41-3608035/"
"38 ft 2007 Bavaria 38","38","2007","111285","https://au.yachtworld.com/boats/2007/bavaria-38-3481024/"
"50 ft 2002 Bavaria 50 / VAT PAID","50","2002","112103","https://au.yachtworld.com/boats/2002/bavaria-50-vat-paid-3585818/"
"44 ft 1996 Bavaria 44","44","1996","112441","https://au.yachtworld.com/boats/1996/bavaria-44-2900049/"
"45 ft 2003 Bavaria 44","45","2003","112921","https://au.yachtworld.com/boats/2003/bavaria-44-2446348/"
"38 ft 1998 Bavaria 38 Ocean","38","1998","113156","https://au.yachtworld.com/boats/1998/bavaria-38-ocean-3535939/"
"40 ft 2004 Bavaria 38-3 Custom Line","40","2004","112350","https://au.yachtworld.com/boats/2004/bavaria-38-3-custom-line-3574094/"
"50 ft 2002 Bavaria 50 (VAT paid)","50","2002","113740","https://au.yachtworld.com/boats/2002/bavaria-50-vat-paid--2935709/"
"49 ft 2002 Bavaria 50","49","2002","113740","https://au.yachtworld.com/boats/2002/bavaria-50-3537900/"
"43 ft 2001 Bavaria 42-4","43","2001","113740","https://au.yachtworld.com/boats/2001/bavaria-42-4-3100432/"
"42 ft 2000 Bavaria 42 Cruiser","42","2000","113740","https://au.yachtworld.com/boats/2000/bavaria-42-cruiser-3248027/"
"38 ft 1997 Bavaria 38 Ocean","38","1997","114107","https://au.yachtworld.com/boats/1997/bavaria-38-ocean-3179443/"
"44 ft 2003 Bavaria 44","44","2003","114231","https://au.yachtworld.com/boats/2003/bavaria-44-3233597/"
"47 ft 2005 Bavaria Cruiser 46","47","2005","114558","https://au.yachtworld.com/boats/2005/bavaria-cruiser-46-3535853/"
"45 ft 2003 Bavaria 44","45","2003","114558","https://au.yachtworld.com/boats/2003/bavaria-44-3196202/"
"42 ft 2001 Bavaria 42","42","2001","114558","https://au.yachtworld.com/boats/2001/bavaria-42-2954559/"
"42 ft 2009 Bavaria 43 Cruiser","42","2009","114558","https://au.yachtworld.com/boats/2009/bavaria-43-cruiser-3096512/"
"40 ft 2004 Bavaria 38","40","2004","114558","https://au.yachtworld.com/boats/2004/bavaria-38-3086324/"
"38 ft 2003 Bavaria 38","38","2003","114558","https://au.yachtworld.com/boats/2003/bavaria-38-3599197/"
"38 ft 2008 Bavaria 38 Cruiser","38","2008","114558","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3600029/"
"42 ft 2000 Bavaria 42","42","2000","116194","https://au.yachtworld.com/boats/2000/bavaria-42-2668343/"
"39 ft 2006 Bavaria 39 Cruiser","39","2006","117013","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-2687266/"
"45 ft 2003 Bavaria 44","45","2003","117232","https://au.yachtworld.com/boats/2003/bavaria-44-3564771/"
"38 ft 2005 Bavaria 38 Cruiser","38","2005","117232","https://au.yachtworld.com/boats/2005/bavaria-38-cruiser-3590390/"
"45 ft 2003 Bavaria 44","45","2003","118649","https://au.yachtworld.com/boats/2003/bavaria-44-3113564/"
"40 ft 2001 Bavaria 40 Ocean","40","2001","120286","https://au.yachtworld.com/boats/2001/bavaria-40-ocean-3543655/"
"42 ft 2001 Bavaria 42","42","2001","121104","https://au.yachtworld.com/boats/2001/bavaria-42-3518958/"
"42 ft 2000 Bavaria 42","42","2000","121104","https://au.yachtworld.com/boats/2000/bavaria-42-3550847/"
"39 ft 2001 Bavaria Bavaria 40","39","2001","121104","https://au.yachtworld.com/boats/2001/bavaria-bavaria-40-3583541/"
"44 ft 2004 Bavaria 44","44","2004","122577","https://au.yachtworld.com/boats/2004/bavaria-44-3529261/"
"45 ft 2004 Bavaria 44","45","2004","122659","https://au.yachtworld.com/boats/2004/bavaria-44-3619546/"
"44 ft 2001 Bavaria 44","44","2001","122659","https://au.yachtworld.com/boats/2001/bavaria-44-3558757/"
"38 ft 2003 Bavaria 38","38","2003","122659","https://au.yachtworld.com/boats/2003/bavaria-38-3114157/"
"38 ft 2002 Bavaria 38 Cruiser","38","2002","122732","https://au.yachtworld.com/boats/2002/bavaria-38-cruiser-3490371/"
"50 ft 2003 Bavaria 49","50","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-49-3138885/"
"49 ft 2003 Bavaria 49","49","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-49-3535854/"
"44 ft 2004 Bavaria 44","44","2004","122741","https://au.yachtworld.com/boats/2004/bavaria-44-2061218/"
