"model","length","year","price","url"
"39 ft 2010 Dufour 405 Grand Large","39","2010","260210","https://au.yachtworld.com/boats/2010/dufour-405-grand-large-3606304/"
"53 ft 1996 Dufour Nautitech 435","53","1996","261847","https://au.yachtworld.com/boats/1996/dufour-nautitech-435-3648187/"
"39 ft 2000 Nautitech Dufour 395","39","2000","261847","https://au.yachtworld.com/boats/2000/nautitech-dufour-395-3199709/"
"45 ft 2010 Dufour 45E Performance","45","2010","270029","https://au.yachtworld.com/boats/2010/dufour-45e-performance-3032476/"
"45 ft 2009 Dufour 45 Performance","45","2009","278212","https://au.yachtworld.com/boats/2009/dufour-45-performance-3588359/"
"44 ft 2010 Dufour 45E Performance","44","2010","278212","https://au.yachtworld.com/boats/2010/dufour-45e-performance-3592053/"
"56 ft 1992 Dufour 56 CC","56","1992","281208","https://au.yachtworld.com/boats/1992/dufour-56-cc--3549607/"
"45 ft 2009 Dufour 455 Grand Large","45","2009","285154","https://au.yachtworld.com/boats/2009/dufour-455-grand-large-3238340/"
"48 ft 2007 Dufour DUFOUR 485 Grand Large","48","2007","286395","https://au.yachtworld.com/boats/2007/dufour-dufour-485-grand-large-3256534/"
"49 ft 1999 Dufour 50 Classic","49","1999","294578","https://au.yachtworld.com/boats/1999/dufour-50-classic-2837883/"
"48 ft 2008 Dufour 485 Grand Large","48","2008","301750","https://au.yachtworld.com/boats/2008/dufour-485-grand-large-3613517/"
"50 ft 2008 Dufour 525 Grand Large","50","2008","309306","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-3138551/"
"50 ft 2008 Dufour 525 Grand Large","50","2008","309306","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-1977158/"
"49 ft 2008 Dufour 525 Grand Large","49","2008","309306","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-3247596/"
"48 ft 2009 Dufour 485 Grand Large","48","2009","309306","https://au.yachtworld.com/boats/2009/dufour-485-grand-large-3584624/"
"48 ft 2009 Dufour 485 Grand Large","48","2009","309306","https://au.yachtworld.com/boats/2009/dufour-485-grand-large-3575449/"
"48 ft 2008 Dufour 485 Grand Large","48","2008","309306","https://au.yachtworld.com/boats/2008/dufour-485-grand-large-3211877/"
"48 ft 2008 Dufour 485 Grand Large","48","2008","310943","https://au.yachtworld.com/boats/2008/dufour-485-grand-large-3608337/"
"47 ft 1995 Dufour Nautitech 475","47","1995","315329","https://au.yachtworld.com/boats/1995/dufour-nautitech-475-2927303/"
"48 ft 2007 Dufour 485 Grand Large","48","2007","319126","https://au.yachtworld.com/boats/2007/dufour-485-grand-large-3060061/"
"50 ft 2010 Dufour Grand Large 525","50","2010","339000","https://au.yachtworld.com/boats/2010/dufour-grand-large-525-3523483/"
"49 ft 2007 Dufour 525 Grand Large","49","2007","351857","https://au.yachtworld.com/boats/2007/dufour-525-grand-large-2811752/"
"48 ft 2009 Dufour 485 Grand Large","48","2009","374768","https://au.yachtworld.com/boats/2009/dufour-485-grand-large-3609441/"
"50 ft 2010 Dufour 525 Grand Large","50","2010","384587","https://au.yachtworld.com/boats/2010/dufour-525-grand-large-3616594/"
"50 ft 2008 Dufour 525 Grand Large","50","2008","387350","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-3653592/"
"50 ft 2008 Dufour 525","50","2008","387755","https://au.yachtworld.com/boats/2008/dufour-525-3653894/"
"50 ft 2008 Dufour 525 Grand Large","50","2008","387860","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-3646202/"
"52 ft 2008 Dufour 525 Grand Large","52","2008","392770","https://au.yachtworld.com/boats/2008/dufour-525-grand-large-3151487/"
"49 ft 2008 Dufour Dufour 252 grand large","49","2008","392770","https://au.yachtworld.com/boats/2008/dufour-dufour-252-grand-large-3644954/"
"45 ft 2009 Dufour 45 E","45","2009","395889","https://au.yachtworld.com/boats/2009/dufour-45-e-3642490/"
"45 ft 2010 Dufour 45E Performance","45","2010","395889","https://au.yachtworld.com/boats/2010/dufour-45e-performance-3645066/"
